invoice id,state,city,customer type,gender,product line,unit price,quantity,tax 18%,sales,date,time,payment,cogs,gross margin percentage,gross income,rating
e7461d6d-d562-4ec1-b2f5-392bf6359048,Madhya Pradesh,Bhopal,Normal,Male,Electronics,4966.8,10,8940.24,58608.24,2023-11-12,20:13:28,Credit Card,49668.0,4.7619,2790.87,1.7
aad755e1-85b0-44a2-a724-16c3c2f2c7bb,Rajasthan,Jodhpur,Member,Female,Fashion,1452.69,10,2614.84,17141.74,2024-11-22,05:25:45,Credit Card,14526.900000000001,4.7619,816.27,9.5
4e9f8644-3289-4a00-825f-929123e13cce,Punjab,Ludhiana,Member,Female,Groceries,9752.08,6,10532.25,69044.73,2023-11-04,09:10:11,Debit Card,58512.479999999996,4.7619,3287.84,7.1
fb3fe0b6-553b-40dd-978f-3c46a26ac22b,Tamil Nadu,Coimbatore,Member,Male,Groceries,13139.05,9,21285.26,139536.71,2023-11-05,07:57:50,Cash,118251.45,4.7619,6644.6,8.9
3fd44f8b-8757-4c2e-86a7-b1806cfcf1ef,Maharashtra,Nagpur,Member,Female,Electronics,6727.03,3,3632.6,23813.69,2023-12-30,12:24:14,Cash,20181.09,4.7619,1133.98,6.6
9d2a46eb-7ec3-4b65-9894-ad3641a0a475,Delhi,New Delhi,Normal,Male,Groceries,17672.66,9,28629.71,187683.65,2024-04-19,16:13:13,Cash,159053.94,4.7619,8937.31,5.1
50351107-04e0-4d94-b18e-fe88cf6d79aa,Punjab,Amritsar,Member,Male,Groceries,9985.75,3,5392.3,35349.55,2023-08-22,08:00:27,Credit Card,29957.25,4.7619,1683.31,5.5
e7fa65cd-187a-45cf-8ba9-d79ed8ac5179,Rajasthan,Jodhpur,Normal,Female,Home & Kitchen,10809.98,9,17512.17,114801.99,2023-12-28,19:33:37,Debit Card,97289.81999999999,4.7619,5466.76,6.3
592f3154-4bcf-4787-9100-d8bd419e0522,Madhya Pradesh,Indore,Normal,Male,Home & Kitchen,10094.22,9,16352.64,107200.62,2024-04-22,12:19:56,Debit Card,90847.98,4.7619,5104.79,5.7
cb8d7dc8-41d7-4708-b49a-7c782f579911,Gujarat,Surat,Normal,Female,Groceries,14503.16,2,5221.14,34227.46,2025-05-31,23:38:09,Credit Card,29006.32,4.7619,1629.88,9.7
8ce9bea1-e0d3-47b7-9f91-81ffcdf94233,Karnataka,Bengaluru,Member,Female,Electronics,2151.85,6,2324.0,15235.1,2023-08-21,18:52:36,Credit Card,12911.099999999999,4.7619,725.48,5.6
fd578a85-b0bd-406e-8ab9-42ca0b385a22,Gujarat,Ahmedabad,Member,Female,Electronics,11573.4,4,8332.85,54626.45,2025-06-21,22:27:48,Debit Card,46293.6,4.7619,2601.26,5.1
f0e1f1a0-db01-4ea0-a06c-5b83eba4de10,Karnataka,Bengaluru,Member,Male,Fashion,19410.97,6,20963.85,137429.67,2025-05-30,15:42:10,Credit Card,116465.82,4.7619,6544.26,9.1
cd096b7d-d6eb-4811-a37e-4efe0b96f7cb,Delhi,New Delhi,Normal,Female,Electronics,6654.95,9,10781.02,70675.57,2024-02-10,23:24:27,Cash,59894.549999999996,4.7619,3365.5,5.8
